epoch:171	Accuracy:98.76190476190476	Average precision:98.76867032188153	Average recall:98.68727307766531
epoch:172	Accuracy:98.85714285714286	Average precision:98.83792033441058	Average recall:98.79992061112735
epoch:173	Accuracy:98.9047619047619	Average precision:98.88646491578302	Average recall:98.85909220876047
epoch:174	Accuracy:98.85714285714286	Average precision:98.84151446025565	Average recall:98.79992061112735
epoch:175	Accuracy:98.76190476190476	Average precision:98.73355748841398	Average recall:98.73409220876047
epoch:176	Accuracy:98.76190476190476	Average precision:98.73730728969642	Average recall:98.72228293959827
epoch:177	Accuracy:98.80952380952381	Average precision:98.78274125206727	Average recall:98.77575887542716
epoch:178	Accuracy:98.80952380952381	Average precision:98.7997382688352	Average recall:98.77575887542716
epoch:179	Accuracy:98.80952380952381	Average precision:98.78274125206727	Average recall:98.77575887542716
epoch:180	Accuracy:98.9047619047619	Average precision:98.90415392532438	Average recall:98.85909220876047
epoch:181	Accuracy:98.9047619047619	Average precision:98.88646491578302	Average recall:98.85909220876047
epoch:182	Accuracy:98.85714285714286	Average precision:98.8595514635812	Average recall:98.79992061112735
epoch:183	Accuracy:98.9047619047619	Average precision:98.88646491578302	Average recall:98.85909220876047
epoch:184	Accuracy:98.85714285714286	Average precision:98.83792033441058	Average recall:98.79992061112735
epoch:185	Accuracy:98.80952380952381	Average precision:98.81135058165562	Average recall:98.7407490134942
epoch:186	Accuracy:98.9047619047619	Average precision:98.88646491578302	Average recall:98.85909220876047
epoch:187	Accuracy:98.80952380952381	Average precision:98.79296144267025	Average recall:98.7407490134942
epoch:188	Accuracy:98.9047619047619	Average precision:98.88646491578302	Average recall:98.85909220876047
epoch:189	Accuracy:98.85714285714286	Average precision:98.82816172027542	Average recall:98.81742554209382
epoch:190	Accuracy:98.85714285714286	Average precision:98.8595514635812	Average recall:98.79992061112735
epoch:191	Accuracy:98.85714285714286	Average precision:98.83792033441058	Average recall:98.79992061112735
epoch:192	Accuracy:98.76190476190476	Average precision:98.75028118289615	Average recall:98.68727307766531
epoch:193	Accuracy:98.85714285714286	Average precision:98.8595514635812	Average recall:98.79992061112735
epoch:194	Accuracy:98.85714285714286	Average precision:98.83792033441058	Average recall:98.79992061112735
epoch:195	Accuracy:98.9047619047619	Average precision:98.90415392532438	Average recall:98.85909220876047
epoch:196	Accuracy:98.85714285714286	Average precision:98.8559573377361	Average recall:98.79992061112735
epoch:197	Accuracy:98.85714285714286	Average precision:98.83792033441058	Average recall:98.79992061112735
epoch:198	Accuracy:98.80952380952381	Average precision:98.78274125206727	Average recall:98.77575887542716
epoch:199	Accuracy:98.85714285714286	Average precision:98.8559573377361	Average recall:98.79992061112735
epoch:200	Accuracy:98.80952380952381	Average precision:98.78274125206727	Average recall:98.77575887542716
